task|category|subcategory
Určí slova začínající danou hláskou|Sluchové vnímání a paměť|Sluchová analýza, syntéza
Určí poslední souhlásku ve slově les|Sluchové vnímání a paměť|Sluchová analýza, syntéza
Určí poslední samohlásku ve slově|Sluchové vnímání a paměť|Sluchová analýza, syntéza
Určí, zda slovo obsahuje danou hlásku|Sluchové vnímání a paměť|Sluchová analýza, syntéza
Z hlásek složí slovo p-e-s|Sluchové vnímání a paměť|Sluchová analýza, syntéza
Jednoslabičné slovo analyzuje na hlásky|Sluchové vnímání a paměť|Sluchová analýza, syntéza
Určí, zda jsou rytm.struktury shodné - kratší|Sluchové vnímání a paměť|Vnímání rytmu
Určí, zda jsou rytm.struktury shodné - delší|Sluchové vnímání a paměť|Vnímání rytmu
Napodobí rytmus (2-4 tóny)|Sluchové vnímání a paměť|Vnímání rytmu
Zvládá záznam krátké rytmické struktury|Sluchové vnímání a paměť|Vnímání rytmu
Zvládá záznam delší rytmické struktury|Sluchové vnímání a paměť|Vnímání rytmu
Přiřadí barvu /základní barvy/|Zrakové vnímání a paměť|Barva
Ukáže požadovanou barvu|Zrakové vnímání a paměť|Barva
Pojmenuje barvu /základní/|Zrakové vnímání a paměť|Barva
Přiřadí odstíny barev|Zrakové vnímání a paměť|Barva
Pojmenuje odstíny barev|Zrakové vnímání a paměť|Barva
Vyhledá známý předmět na obrázku|Zrakové vnímání a paměť|Figura a pozadí
Vyhledá objekt na obrázku dle předlohy|Zrakové vnímání a paměť|Figura a pozadí
Vyhledá známý objekt na pozadí|Zrakové vnímání a paměť|Figura a pozadí
Odliší dva překrývající se obrázky|Zrakové vnímání a paměť|Figura a pozadí
Sleduje linii mezi ostatními|Zrakové vnímání a paměť|Figura a pozadí
Vyhledá tvar na pozadí|Zrakové vnímání a paměť|Figura a pozadí
Odliší výrazně jiný obrázek|Zrakové vnímání a paměť|Zrakové rozlišování
Odliší obrázek v jiné velikosti|Zrakové vnímání a paměť|Zrakové rozlišování
Odliší jiný obrázek v řadě|Zrakové vnímání a paměť|Zrakové rozlišování
Odliší obrázek v řadě (horizontální poloha)|Zrakové vnímání a paměť|Zrakové rozlišování
Odliší obrázek v řadě (detaily)|Zrakové vnímání a paměť|Zrakové rozlišování
Odliší shodné a neshodné dvojice (detaily)|Zrakové vnímání a paměť|Zrakové rozlišování
Odliší obrázek v řadě (vertikální poloha)|Zrakové vnímání a paměť|Zrakové rozlišování
Vyhledá dva shodné obrázky v řadě|Zrakové vnímání a paměť|Zrakové rozlišování
Odliší shodné a neshodné dvojice (vertik.poloha)|Zrakové vnímání a paměť|Zrakové rozlišování
Poskládá obrázek - 2 části|Zrakové vnímání a paměť|Část a celek
Poskládá obrázek - 4 části|Zrakové vnímání a paměť|Část a celek
Poskládá obrázek - několik částí|Zrakové vnímání a paměť|Část a celek
Složí tvar na předlohu (několik částí)|Zrakové vnímání a paměť|Část a celek
Složí tvar podle předlohy (několik částí)|Zrakové vnímání a paměť|Část a celek
Doplní chybějící části v obrázku|Zrakové vnímání a paměť|Část a celek
Pamatuje si 3 předměty - pozná, co chybí|Zrakové vnímání a paměť|Zraková paměť
Pamatuje si 3 obrázky - pozná, co chybí|Zrakové vnímání a paměť|Zraková paměť
Z 6 obrázků si tři pamatuje|Zrakové vnímání a paměť|Zraková paměť
Pozná viděné obrázky|Zrakové vnímání a paměť|Zraková paměť
Umístí obrázky na místo|Zrakové vnímání a paměť|Zraková paměť
Jmenuje objekty zleva doprava|Zrakové vnímání a paměť|Pohyby očí po řádku
Vyhledá daný první objekt ve kupině z L do P|Zrakové vnímání a paměť|Pohyby očí po řádku
Skok sounož|Hrubá motorika, grafomotorika|Hrubá motorika
Přeskočí nízkou překážku|Hrubá motorika, grafomotorika|Hrubá motorika
Chůze po schodech nahoru - střídá nohy|Hrubá motorika, grafomotorika|Hrubá motorika
Stoj se zavřenýma očima|Hrubá motorika, grafomotorika|Hrubá motorika
Přeskok přes čáru|Hrubá motorika, grafomotorika|Hrubá motorika
Chůze po schodech dolů - střídá nohy|Hrubá motorika, grafomotorika|Hrubá motorika
Přejde po čáře|Hrubá motorika, grafomotorika|Hrubá motorika
Stoj na špičkách s otevřenýma očima|Hrubá motorika, grafomotorika|Hrubá motorika
Poskoky na jedné noze|Hrubá motorika, grafomotorika|Hrubá motorika
Chůze po mírně zvýšené ploše|Hrubá motorika, grafomotorika|Hrubá motorika
Přejde přes kladinu|Hrubá motorika, grafomotorika|Hrubá motorika
Přeskočí snožmo nízkou překážku|Hrubá motorika, grafomotorika|Hrubá motorika
Manipulace s drobnými předměty|Hrubá motorika, grafomotorika|Jemná motorika
Stříhání|Hrubá motorika, grafomotorika|Jemná motorika
Otevírání dlaně postupně po jednom prstu|Hrubá motorika, grafomotorika|Jemná motorika
Dotkne se prstem každého prstu na bříšku palce|Hrubá motorika, grafomotorika|Jemná motorika
Pozná hmatem výrazně odlišné hračky|Hrubá motorika, grafomotorika|Hmatové vnímání
Pozná hmatem zvířátka (10cm)|Hrubá motorika, grafomotorika|Hmatové vnímání
Rozliší různé povrchy a materiály|Hrubá motorika, grafomotorika|Hmatové vnímání
Pozná hmatem geometrické tvary|Hrubá motorika, grafomotorika|Hmatové vnímání
Čáara svislá|Hrubá motorika, grafomotorika|Grafomotorické prvky
Čára vodorovná|Hrubá motorika, grafomotorika|Grafomotorické prvky
Kruh|Hrubá motorika, grafomotorika|Grafomotorické prvky
Spirála|Hrubá motorika, grafomotorika|Grafomotorické prvky
Vlnovka|Hrubá motorika, grafomotorika|Grafomotorické prvky
Šikmá čára|Hrubá motorika, grafomotorika|Grafomotorické prvky
Zuby|Hrubá motorika, grafomotorika|Grafomotorické prvky
Horní smyčka|Hrubá motorika, grafomotorika|Grafomotorické prvky
Spodní smyčka|Hrubá motorika, grafomotorika|Grafomotorické prvky
Horní oblouk s vratným tahem|Hrubá motorika, grafomotorika|Grafomotorické prvky
Dolní oblouk s vratným tahem|Hrubá motorika, grafomotorika|Grafomotorické prvky
Držení tužky|Hrubá motorika, grafomotorika|Návyky při kreslení
Postavení ruky|Hrubá motorika, grafomotorika|Návyky při kreslení
Uvolnění ruky|Hrubá motorika, grafomotorika|Návyky při kreslení
Plynulost tahů|Hrubá motorika, grafomotorika|Návyky při kreslení
Čára mezi dvěma liniemi /dráhy|Hrubá motorika, grafomotorika|Vizuomotorika
Jedna linie / rozcvičovací cviky|Hrubá motorika, grafomotorika|Vizuomotorika
Překreslí obrázek dle předlohy|Hrubá motorika, grafomotorika|Vizuomotorika
Pojmenuje běžné věci na obrázku|Řeč|Lexikálně-sémantická r.
Ukáže obrázek podle použití|Řeč|Lexikálně-sémantická r.
Ukáže na obrázku činnost|Řeč|Lexikálně-sémantická r.
Chápe pojmy "já a moje"|Řeč|Lexikálně-sémantická r.
Správně používá slova ANO/NE|Řeč|Lexikálně-sémantická r.
Odpovídá na otáky "Co děláš?", "Kde?"|Řeč|Lexikálně-sémantická r.
Má zájem o obrázkové knížky, příběhy|Řeč|Lexikálně-sémantická r.
Ukáže obrázek podle podstatného znaku|Řeč|Lexikálně-sémantická r.
Klade otázky "Proč?" "Kdy?"|Řeč|Lexikálně-sémantická r.
Řekne, co je na obrázku|Řeč|Lexikálně-sémantická r.
Reprodukuje jednoduchou říkanku|Řeč|Lexikálně-sémantická r.
Chápe jednoduché protiklady|Řeč|Lexikálně-sémantická r.
Identifikuje věci podle společných podstatných znaků|Řeč|Lexikálně-sémantická r.
Zařazuje různé obrázky pod nadřazené pojmy|Řeč|Lexikálně-sémantická r.
Ukáže obrázek podle aktuální situace|Řeč|Lexikálně-sémantická r.
Vysvětlí na co máme oči, knihy, auta…|Řeč|Lexikálně-sémantická r.
Poslouchá pohádky, chápe děj|Řeč|Lexikálně-sémantická r.
Spontánně vypráví podle obrázku|Řeč|Lexikálně-sémantická r.
Doplní protiklady s názorem|Řeč|Lexikálně-sémantická r.
Definuje význam pojmů|Řeč|Lexikálně-sémantická r.
Chápe jednoduché vtipy a hádanky|Řeč|Lexikálně-sémantická r.
Sestaví dějovou posloupnost a popíše ji|Řeč|Lexikálně-sémantická r.
Pojmenuje, co dělá určitá profese|Řeč|Lexikálně-sémantická r.
Přiřadí, co k sobě patří a vysvětlí to|Řeč|Lexikálně-sémantická r.
Umí zpaměti kratší texty|Řeč|Lexikálně-sémantická r.
Tvoří nadřazené pojmy|Řeč|Lexikálně-sémantická r.
Tvoří protiklady (antonyma)|Řeč|Lexikálně-sémantická r.
Tvoří slova podobného významu|Řeč|Lexikálně-sémantická r.
Pozná slova stejného zvuku, ale různého významu|Řeč|Lexikálně-sémantická r.
Pozná a pojmenuje nesmysl na obrázku|Řeč|Lexikálně-sémantická r.
Správně posoudí pravdivost či nepravdivost tvrzení|Řeč|Lexikálně-sémantická r.
Interpretuje pohádky bez obrazového doprovodu|Řeč|Lexikálně-sémantická r.
Chápe a ve správném pořadí realizuje dlouhé pokyny|Řeč|Lexikálně-sémantická r.
Mluví ve větách|Řeč|Morfologicko-syntaktická r.
Rozlišuje mezi množným a jednotným číslem|Řeč|Morfologicko-syntaktická r.
Skloňuje|Řeč|Morfologicko-syntaktická r.
Tvoří souvětí souřadná|Řeč|Morfologicko-syntaktická r.
Tvoří souvětí podřadná|Řeč|Morfologicko-syntaktická r.
Užívá čas minulý, přítomný a budoucí|Řeč|Morfologicko-syntaktická r.
Užívá všechny druhy slov|Řeč|Morfologicko-syntaktická r.
Mluví gramaticky správně|Řeč|Morfologicko-syntaktická r.
Pozná nesprávně utvořenou větu|Řeč|Morfologicko-syntaktická r.
Do příběhu doplní slovo ve správném tvaru|Řeč|Morfologicko-syntaktická r.
Uřednostňuje verbální formu…|Řeč|Pragmatická rovina
Řekne své jméno, jména sourozenců a kamarádů|Řeč|Pragmatická rovina
Mluví nenuceně, pokouší se o krátkou konverzaci|Řeč|Pragmatická rovina
Spontánně informuje o zážitcích, pocitech, přáních|Řeč|Pragmatická rovina
Předá krátký vzkaz|Řeč|Pragmatická rovina
Řečový projev po obs.str. odpovídá kritériím běžné k.|Řeč|Pragmatická rovina
Aktivně a spontánně navazuje řečový kontakt |Řeč|Pragmatická rovina
Dodržuje pravidla konverzace a společenského kontaktu|Řeč|Pragmatická rovina
Dokáže zformulovat otázku, odpovědět adekvátně…|Řeč|Pragmatická rovina
Smysluplně vyjádří myšlenku, nápad…|Řeč|Pragmatická rovina
Řekne své jméno a příjmení, jména rodičů, učitelek, adresu|Řeč|Pragmatická rovina
Oční kontakt|Řeč|Pragmatická rovina
L|Řeč|Foneticko - fonologická
sykavky|Řeč|Foneticko - fonologická
měkčení|Řeč|Foneticko - fonologická
K,G|Řeč|Foneticko - fonologická
H,CH|Řeč|Foneticko - fonologická
R|Řeč|Foneticko - fonologická
Ř|Řeč|Foneticko - fonologická
Nahoře, dole|Prostor, čas|Prostor   
Předložkové vazby na, do, v|Prostor, čas|Prostor   
Níže, výše|Prostor, čas|Prostor   
Vpředu, vzadu|Prostor, čas|Prostor   
Předložkové vazby před za, nad po|Prostor, čas|Prostor   
Daleko, blízko|Prostor, čas|Prostor   
první, poslední|Prostor, čas|Prostor   
Uprostřed, prostřední, předposlední|Prostor, čas|Prostor   
Orientace v okolí - ví jak se jde do školky….|Prostor, čas|Prostor   
Hned před, hned za|Prostor, čas|Prostor   
Vpravo, vlevo na vlastním těle|Prostor, čas|Prostor   
Vpravo, vlevo na předmětu|Prostor, čas|Prostor   
Vpravo nahoře - dvě kritéria|Prostor, čas|Prostor   
Přiřadí činnosti obvyklé pro ráno|Prostor, čas|Čas
Přiřadí činnosti obvyklé pro poledne|Prostor, čas|Čas
Přiřadí činnosti obvyklé pro večer|Prostor, čas|Čas
Přiřadí činnosti obvyklé pro dopoledne|Prostor, čas|Čas
Přiřadí činnosti obvyklé pro odpoledne|Prostor, čas|Čas
Rozliší dříve, později - seřadí dva obrázky|Prostor, čas|Čas
Seřadí obrázky podle posloupnosti děje|Prostor, čas|Čas
Rozliší pojmy nejdříve, předtím, nyní, potom|Prostor, čas|Čas
Začíná se orientovat ve dnech v týdnu|Prostor, čas|Čas
Přiřadí činnosti obvyklé pro roční období|Prostor, čas|Čas
Pojmy včera, dnes a zítra|Prostor, čas|Čas
Předevčírem, pozítří|Prostor, čas|Čas
malý x velký|Matematické dovednosti|Porovnávání
hodně x málo|Matematické dovednosti|Porovnávání
všechny|Matematické dovednosti|Porovnávání
krátký x dlouhý|Matematické dovednosti|Porovnávání
úzký x široký|Matematické dovednosti|Porovnávání
nízký x vysoký|Matematické dovednosti|Porovnávání
prázdný x plný|Matematické dovednosti|Porovnávání
stejně, vytváření dvojic|Matematické dovednosti|Porovnávání
méně x více|Matematické dovednosti|Porovnávání
menší x větší|Matematické dovednosti|Porovnávání
kratší x delší|Matematické dovednosti|Porovnávání
nižší x vyšší|Matematické dovednosti|Porovnávání
některé|Matematické dovednosti|Porovnávání
žádné, nic|Matematické dovednosti|Porovnávání
méně, více, stejně - odlišně prvky|Matematické dovednosti|Porovnávání
o jeden více|Matematické dovednosti|Porovnávání
o jeden méně|Matematické dovednosti|Porovnávání
Podle druhu (jídlo, hračky)|Matematické dovednosti|Třídění
Podle barvy|Matematické dovednosti|Třídění
Podle velikosti|Matematické dovednosti|Třídění
Podle tvaru|Matematické dovednosti|Třídění
Pozná, co do skupiny nepatří|Matematické dovednosti|Třídění
Podle dvou kritérií|Matematické dovednosti|Třídění
Podle tří kritérií|Matematické dovednosti|Třídění
Seřadí tři prvky podle velikosti|Matematické dovednosti|Řazení
Pojmenuje nejmenší, největší|Matematické dovednosti|Řazení
Seřadí: malý, střední, velký…|Matematické dovednosti|Řazení
Pojmenuje: malý, střední, velký…|Matematické dovednosti|Řazení
Seřadí pět prvků podle velikosti|Matematické dovednosti|Řazení
do 2|Matematické dovednosti|Množství
do 3|Matematické dovednosti|Množství
do 4|Matematické dovednosti|Množství
do 5 |Matematické dovednosti|Množství
do 6|Matematické dovednosti|Množství
Kruh|Matematické dovednosti|Tvary
Čtverec|Matematické dovednosti|Tvary
Trojúhelník|Matematické dovednosti|Tvary
Obdélník|Matematické dovednosti|Tvary
Číslice - některé určí|Matematické dovednosti|Číslice
Číslice do 6|Matematické dovednosti|Číslice
Číslice 0 - 10|Matematické dovednosti|Číslice
Serialita|Matematické dovednosti|Číslice
Dokáže se odloučit od matky|Sociální dovednosti|Sociální dovednosti
Projevuje zájem o ostatní děti|Sociální dovednosti|Sociální dovednosti
Učí se ovládat své chování|Sociální dovednosti|Sociální dovednosti
Chápe, v čem spočívá střídání|Sociální dovednosti|Sociální dovednosti
Začíná kooperovat s dětmi, respektovat je|Sociální dovednosti|Sociální dovednosti
Zvyká siříkat děkuji, prosím..|Sociální dovednosti|Sociální dovednosti
Učí se chápat a dodržovat pravidla|Sociální dovednosti|Sociální dovednosti
Projevuje soucit, poskytuje útěchu|Sociální dovednosti|Sociální dovednosti
Poprosí o pomoc, když má problém|Sociální dovednosti|Sociální dovednosti
V případě konfliktu se uchyluje spíše ke slovním výpadům|Sociální dovednosti|Sociální dovednosti
Rádo se kamarádí|Sociální dovednosti|Sociální dovednosti
Vůči mladším dětem projevuje náklonnost|Sociální dovednosti|Sociální dovednosti
Umí se vcítit do druhého|Sociální dovednosti|Sociální dovednosti
Vesměs dodržuje základní pravidla|Sociální dovednosti|Sociální dovednosti
Domluví se s ostatními|Sociální dovednosti|Sociální dovednosti
Spolupracuje, zapojuje se do činností, ve skupině pomáhá|Sociální dovednosti|Sociální dovednosti
Umí počkat, až na něj přijde řada|Sociální dovednosti|Sociální dovednosti
Dokáže přijmout, že jiné dítě získá pozornost…|Sociální dovednosti|Sociální dovednosti
Správně reaguje na pokyny autority|Sociální dovednosti|Sociální dovednosti
Umí zhodnotit pod vedením dospělého následky chování|Sociální dovednosti|Sociální dovednosti
Požádá o dovolení, aby si mohlo hrát s hračkou|Sociální dovednosti|Sociální dovednosti
Vědomě projevuje zdvořilostní chování|Sociální dovednosti|Sociální dovednosti
Začíná se rozvíjet smysl pro morálku|Sociální dovednosti|Sociální dovednosti
Dokáže odmítnout nežádoucí chování|Sociální dovednosti|Sociální dovednosti
Zná základní pravidla chování na ulici|Sociální dovednosti|Sociální dovednosti
Spolupracuje, zapojuje se do činností, ve skupině pomáhá|Sociální dovednosti|Pracovní návyky
Začíná rozlišovat mezi hrou a úkolem (smyslpro povinnost)|Sociální dovednosti|Pracovní návyky
Udržuje pořádek ve vlastních věcech i ve společných prostorách|Sociální dovednosti|Pracovní návyky
Trpělivě překonává překážky|Sociální dovednosti|Pracovní návyky
Zapojuje se mezi ostatní děti do her, při nichž je třeba rozhodovat|Sociální dovednosti|Pracovní návyky
Udrží pozornost 10 - 15 min.|Sociální dovednosti|Pracovní návyky
Aktivně hlásí potřebu|Sebeobsluha|Hygiena
Jde samo na WC |Sebeobsluha|Hygiena
Po použití WC si umyje a utře ruce|Sebeobsluha|Hygiena
Při spaní je suché|Sebeobsluha|Hygiena
Sprácvně používá toaletní papír|Sebeobsluha|Hygiena
Hygienu udržuje samostatně|Sebeobsluha|Hygiena
Umývá si ruce, utře se|Sebeobsluha|Umývání
Namydlí si ruce, opláchne obličej, utře se|Sebeobsluha|Umývání
Na upozornění se vysmrká|Sebeobsluha|Umývání
Samostatně používá kapesník|Sebeobsluha|Umývání
Pozná, kdy je třeba si umýt špinavé ruce, pusu|Sebeobsluha|Umývání
Rozepne si zip|Sebeobsluha|Oblékání
Stáhne a natáhne si kalhoty|Sebeobsluha|Oblékání
Stáhne a natáhne si triko a svetr|Sebeobsluha|Oblékání
Rukama si zuje boty|Sebeobsluha|Oblékání
Obleče a vysleče si jednoducé oblečení|Sebeobsluha|Oblékání
Obleče a vysleče si ponožky|Sebeobsluha|Oblékání
Zapne si boty na suchý zip|Sebeobsluha|Oblékání
Rozepne lehce rozepnutelné knoflíky|Sebeobsluha|Oblékání
Samostatněji se obléká a svléká|Sebeobsluha|Oblékání
Samostatněji se obuje a vyzuje|Sebeobsluha|Oblékání
Zvládá zapínání a rozepínání knoflíků|Sebeobsluha|Oblékání
Složí a uloží si věci na příslušné místo|Sebeobsluha|Oblékání
Rozlišuje mezi přední a zadní částí oděvu|Sebeobsluha|Oblékání
Pozná svoje oblečení|Sebeobsluha|Oblékání
Zapíná zip|Sebeobsluha|Oblékání
Obrací oděv, když je naruby|Sebeobsluha|Oblékání
Dokáže pojmenovat jednotlivé druhy oblečení…|Sebeobsluha|Oblékání
Správně drží lžičku|Sebeobsluha|Stolování
Jí samo z talíře|Sebeobsluha|Stolování
Pije z hrnečku, skleničky|Sebeobsluha|Stolování
Pomáhá s chystáním předmětů ke stolování|Sebeobsluha|Stolování
Jí samstatně lžičkou i vidličkou|Sebeobsluha|Stolování
Začíná používat nůž|Sebeobsluha|Stolování
Nalévá si pití ze zásobníku|Sebeobsluha|Stolování
Během jídla sedí u stolu|Sebeobsluha|Stolování
Dokáže prostřít s dopomocí|Sebeobsluha|Stolování
Samostatně prostře i sklidí ze stolu|Sebeobsluha|Stolování
Krájí jídlo nožem|Sebeobsluha|Stolování
Nalije si pití ze džbánu|Sebeobsluha|Stolování
Běžně používá příbor|Sebeobsluha|Stolování
Samostatně si nalije polévku|Sebeobsluha|Stolování
